time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,108.51,108.672,108.467,108.619,2589,3,0
2019-12-31 17:00:00,108.619,108.686,108.516,108.665,2740,3,0
2019-12-31 18:00:00,108.665,108.757,108.651,108.667,2446,3,0
2019-12-31 19:00:00,108.667,108.677,108.576,108.582,1314,3,0
2019-12-31 20:00:00,108.582,108.641,108.581,108.621,951,4,0
2019-12-31 21:00:00,108.621,108.636,108.604,108.633,675,6,0
2019-12-31 22:00:00,108.633,108.66,108.627,108.658,854,8,0
2019-12-31 23:00:00,108.658,108.658,108.658,108.658,1,14,0
2020-01-02 06:00:00,108.705,108.742,108.697,108.74,516,4,0
2020-01-02 07:00:00,108.74,108.755,108.73,108.74,616,3,0
2020-01-02 08:00:00,108.74,108.747,108.712,108.712,489,3,0
2020-01-02 09:00:00,108.709,108.798,108.692,108.784,1616,3,0
2020-01-02 10:00:00,108.784,108.815,108.764,108.778,1943,3,0
2020-01-02 11:00:00,108.778,108.842,108.773,108.837,1493,4,0
2020-01-02 12:00:00,108.837,108.864,108.79,108.806,1231,3,0
2020-01-02 13:00:00,108.805,108.811,108.768,108.771,1196,3,0
2020-01-02 14:00:00,108.771,108.805,108.754,108.785,909,3,0
2020-01-02 15:00:00,108.786,108.787,108.655,108.691,1468,3,0
2020-01-02 16:00:00,108.691,108.748,108.635,108.672,2002,3,0
2020-01-02 17:00:00,108.672,108.679,108.21,108.27,3451,3,0
2020-01-02 18:00:00,108.27,108.441,108.258,108.431,2063,3,0
2020-01-02 19:00:00,108.432,108.551,108.429,108.525,1619,3,0
2020-01-02 20:00:00,108.525,108.557,108.496,108.52,1243,3,0
2020-01-02 21:00:00,108.52,108.569,108.509,108.545,1319,3,0
2020-01-02 22:00:00,108.545,108.558,108.49,108.554,1007,3,0
2020-01-02 23:00:00,108.554,108.566,108.525,108.566,460,3,0
2020-01-03 00:00:00,108.555,108.566,108.494,108.532,605,4,0
2020-01-03 01:00:00,108.542,108.627,108.532,108.542,739,3,0
2020-01-03 02:00:00,108.542,108.561,108.39,108.404,1183,3,0
2020-01-03 03:00:00,108.404,108.44,108.163,108.201,2035,3,0
2020-01-03 04:00:00,108.201,108.24,107.998,108.059,3889,3,0
2020-01-03 05:00:00,108.059,108.183,108.004,108.18,2307,3,0
2020-01-03 06:00:00,108.18,108.23,108.124,108.131,1758,3,0
2020-01-03 07:00:00,108.131,108.162,108.078,108.121,1917,3,0
2020-01-03 08:00:00,108.121,108.151,108.077,108.139,1098,3,0
2020-01-03 09:00:00,108.139,108.14,107.914,107.946,3171,3,0
2020-01-03 10:00:00,107.944,108.071,107.928,107.991,3530,3,0
2020-01-03 11:00:00,107.991,108.067,107.919,108.066,3048,3,0
2020-01-03 12:00:00,108.066,108.128,108.014,108.049,3270,3,0
2020-01-03 13:00:00,108.049,108.114,107.995,108.026,2595,3,0
2020-01-03 14:00:00,108.026,108.153,108.021,108.082,2194,3,0
2020-01-03 15:00:00,108.082,108.16,108.082,108.156,2306,3,0
2020-01-03 16:00:00,108.156,108.265,108.142,108.22,2996,3,0
2020-01-03 17:00:00,108.22,108.22,107.995,108.037,4495,3,0
2020-01-03 18:00:00,108.037,108.038,107.915,107.944,2447,3,0
2020-01-03 19:00:00,107.944,107.986,107.931,107.966,1525,3,0
2020-01-03 20:00:00,107.966,108.073,107.839,108.054,2585,3,0
2020-01-03 21:00:00,108.05,108.089,108.01,108.01,2054,3,0
2020-01-03 22:00:00,108.012,108.118,108.01,108.091,1454,4,0
2020-01-03 23:00:00,108.091,108.122,108.085,108.101,631,4,0
2020-01-06 00:00:00,107.884,107.935,107.801,107.803,1239,3,0
2020-01-06 01:00:00,107.803,107.978,107.769,107.968,3516,3,0
2020-01-06 02:00:00,107.968,108.12,107.946,108.065,3893,3,0
2020-01-06 03:00:00,108.065,108.081,107.914,107.945,2468,3,0
2020-01-06 04:00:00,107.945,108.054,107.928,108.029,1822,3,0
2020-01-06 05:00:00,108.029,108.074,108.007,108.054,1255,4,0
2020-01-06 06:00:00,108.054,108.103,108.032,108.061,1329,4,0
2020-01-06 07:00:00,108.061,108.07,108.032,108.057,1008,3,0
2020-01-06 08:00:00,108.057,108.07,107.97,108.05,1701,3,0
2020-01-06 09:00:00,108.05,108.175,108.025,108.101,2230,3,0
2020-01-06 10:00:00,108.1,108.133,107.949,107.973,3107,3,0
2020-01-06 11:00:00,107.975,108.035,107.924,107.983,2297,3,0
2020-01-06 12:00:00,107.983,108.034,107.979,107.998,1666,3,0
2020-01-06 13:00:00,107.998,108.08,107.987,108.058,1373,3,0
2020-01-06 14:00:00,108.06,108.161,108.04,108.157,1378,3,0
2020-01-06 15:00:00,108.157,108.161,108.073,108.119,1531,3,0
2020-01-06 16:00:00,108.118,108.151,108.065,108.138,2511,3,0
2020-01-06 17:00:00,108.139,108.363,108.105,108.319,3174,3,0
2020-01-06 18:00:00,108.319,108.413,108.29,108.369,2082,3,0
2020-01-06 19:00:00,108.369,108.398,108.345,108.349,1092,3,0
2020-01-06 20:00:00,108.349,108.394,108.34,108.366,1142,3,0
2020-01-06 21:00:00,108.366,108.504,108.352,108.453,1221,3,0
2020-01-06 22:00:00,108.453,108.46,108.417,108.436,1095,3,0
2020-01-06 23:00:00,108.436,108.445,108.365,108.365,638,3,0
2020-01-07 00:00:00,108.362,108.376,108.286,108.369,878,5,0
2020-01-07 01:00:00,108.37,108.419,108.363,108.411,1199,3,0
2020-01-07 02:00:00,108.411,108.453,108.375,108.425,2105,3,0
2020-01-07 03:00:00,108.425,108.46,108.374,108.432,1870,3,0
2020-01-07 04:00:00,108.432,108.481,108.42,108.472,1471,3,0
2020-01-07 05:00:00,108.472,108.495,108.443,108.47,1117,3,0
2020-01-07 06:00:00,108.47,108.503,108.459,108.496,1013,3,0
2020-01-07 07:00:00,108.496,108.505,108.431,108.432,1123,3,0
2020-01-07 08:00:00,108.434,108.451,108.338,108.442,2462,3,0
2020-01-07 09:00:00,108.445,108.445,108.259,108.315,2736,3,0
2020-01-07 10:00:00,108.316,108.499,108.308,108.452,3285,3,0
2020-01-07 11:00:00,108.451,108.482,108.412,108.465,1762,3,0
2020-01-07 12:00:00,108.465,108.484,108.368,108.413,2161,3,0
2020-01-07 13:00:00,108.413,108.424,108.375,108.395,1375,3,0
2020-01-07 14:00:00,108.395,108.426,108.377,108.422,1241,3,0
2020-01-07 15:00:00,108.422,108.476,108.415,108.437,2182,3,0
2020-01-07 16:00:00,108.437,108.48,108.315,108.413,2871,3,0
2020-01-07 17:00:00,108.413,108.628,108.413,108.604,4091,3,0
2020-01-07 18:00:00,108.604,108.626,108.524,108.535,1990,3,0
2020-01-07 19:00:00,108.535,108.553,108.51,108.544,1233,3,0
2020-01-07 20:00:00,108.544,108.565,108.509,108.539,889,3,0
2020-01-07 21:00:00,108.539,108.592,108.521,108.528,1359,3,0
2020-01-07 22:00:00,108.528,108.554,108.526,108.553,803,3,0
2020-01-07 23:00:00,108.553,108.56,108.349,108.439,1588,3,0
2020-01-08 00:00:00,108.439,108.509,108.41,108.452,2076,4,0
2020-01-08 01:00:00,108.453,108.472,107.828,107.994,5640,3,0
2020-01-08 02:00:00,107.995,108.067,107.647,107.864,8368,3,0
2020-01-08 03:00:00,107.864,108.135,107.807,108.029,6986,3,0
2020-01-08 04:00:00,108.029,108.458,108.004,108.39,6942,3,0
2020-01-08 05:00:00,108.389,108.406,108.162,108.36,4638,3,0
2020-01-08 06:00:00,108.361,108.399,108.275,108.311,1977,3,0
2020-01-08 07:00:00,108.311,108.379,108.287,108.305,2665,3,0
2020-01-08 08:00:00,108.305,108.41,108.271,108.376,2253,3,0
2020-01-08 09:00:00,108.376,108.466,108.375,108.42,3432,3,0
2020-01-08 10:00:00,108.42,108.488,108.391,108.447,4698,3,0
2020-01-08 11:00:00,108.448,108.481,108.419,108.445,2032,3,0
2020-01-08 12:00:00,108.444,108.758,108.423,108.677,2424,3,0
2020-01-08 13:00:00,108.677,108.771,108.611,108.72,2591,3,0
2020-01-08 14:00:00,108.72,108.784,108.655,108.758,2261,3,0
2020-01-08 15:00:00,108.758,108.814,108.669,108.67,2875,3,0
2020-01-08 16:00:00,108.67,108.741,108.63,108.691,3008,3,0
2020-01-08 17:00:00,108.691,108.743,108.615,108.62,2626,3,0
2020-01-08 18:00:00,108.622,109.098,108.621,109.036,5009,3,0
2020-01-08 19:00:00,109.034,109.132,109.012,109.096,3005,3,0
2020-01-08 20:00:00,109.094,109.171,109.094,109.134,1803,4,0
2020-01-08 21:00:00,109.134,109.243,109.134,109.231,1333,3,0
2020-01-08 22:00:00,109.229,109.229,109.002,109.035,2780,3,0
2020-01-08 23:00:00,109.036,109.17,109.017,109.103,1002,3,0
2020-01-09 00:00:00,109.103,109.122,109.042,109.075,1576,3,0
2020-01-09 01:00:00,109.075,109.123,109.01,109.035,1142,3,0
2020-01-09 02:00:00,109.036,109.241,109.029,109.184,2478,3,0
2020-01-09 03:00:00,109.184,109.253,109.179,109.235,2242,3,0
2020-01-09 04:00:00,109.235,109.236,109.179,109.195,1409,3,0
2020-01-09 05:00:00,109.195,109.202,109.147,109.19,1088,3,0
2020-01-09 06:00:00,109.19,109.221,109.181,109.212,775,3,0
2020-01-09 07:00:00,109.212,109.284,109.206,109.271,824,3,0
2020-01-09 08:00:00,109.274,109.322,109.258,109.281,1640,3,0
2020-01-09 09:00:00,109.281,109.36,109.248,109.355,2279,3,0
2020-01-09 10:00:00,109.354,109.372,109.273,109.335,3031,3,0
2020-01-09 11:00:00,109.335,109.43,109.323,109.429,2146,3,0
2020-01-09 12:00:00,109.429,109.452,109.4,109.44,1698,3,0
2020-01-09 13:00:00,109.44,109.486,109.416,109.45,1248,3,0
2020-01-09 14:00:00,109.45,109.456,109.316,109.352,2229,3,0
2020-01-09 15:00:00,109.352,109.459,109.349,109.43,1809,3,0
2020-01-09 16:00:00,109.43,109.516,109.425,109.486,2694,3,0
2020-01-09 17:00:00,109.485,109.58,109.458,109.537,1945,3,0
2020-01-09 18:00:00,109.538,109.558,109.469,109.474,1839,3,0
